Search term,7-Nov-15,15-Nov-15,22-Nov-15,29-Nov-15,6-Dec-15,13-Dec-15,20-Dec-15,27-Dec-15,3-Jan-16
#refugeeconvoy,231,260,275,284,290,295,296,298,300
#refugeecrisis,84322,124904,163352,186157,204363,221863,235107,244731,252250
#refugeemarch,2,6,6,148,149,149,151,151,151
#refugees,132231,209627,343019,425357,475432,523799,565829,602519,627576
#refugeesGR,27894,35118,40382,47627,53475,60348,65542,70427,74480
#refugeeswelcome,62997,109796,270169,329168,360837,393349,420177,436757,441665
Fluechtling,7339,13316,17315,24571,28121,31851,35813,39307,41540
flykting,1565,3223,4219,5420,6379,7339,7926,8418,9077
menekult,185,288,329,395,466,543,612,677,714
muelteci,21828,51338,67872,86951,115314,131271,146647,160039,167811
refugee,419267,828147,1655449,2226792,2485401,2744975,2963631,3133352,3419267
rifugiato,412,3667,4839,5610,6030,6676,7244,7586,7927
refugie,7086,19353,27542,31503,34096,36569,39907,42711,44048
#paris,0,0,1917259,2640829,3124246,3311799,3516921,3634226,3737076
#parisattacks,0,0,1979327,2995823,3131640,3173138,3198119,3208478,3220218
#PorteOuverte,0,0,1019674,1025397,1026028,1026288,1026526,1026662,1026742
